model,arch,n_layers,n_words,mean_r,min_r,max_r,n_words_positive,perm_p,mean_r_quad,min_r_quad,max_r_quad,n_words_positive_quad,perm_p_quad
llama-7b,decoder,32,7,0.4145936704036636,-0.4980641398959187,0.7259823959880809,6,0.15625,0.1958545230260554,-0.336406456939044,0.5669967604279599,4,0.46875
llama-2-7b,decoder,32,7,0.581066586554741,0.0195913608674891,0.8592607606380565,7,0.0625,0.3676749516171778,0.1799735290334323,0.7712767765799239,7,0.21875
llama-3-8b,decoder,32,7,0.6291438408821453,0.5623240013978714,0.7104331778279089,7,0.03125,0.2884617870903815,-0.1272393467854961,0.4915978833224096,6,0.15625
llama-3.1-8b,decoder,32,7,0.6573235091424776,0.584142930652182,0.7357330315035617,7,0.03125,0.3333745722829017,-0.122527762639671,0.5503916092737999,6,0.125
qwen-7b,decoder,32,7,0.5063449925899568,0.2257642676939459,0.8253689710170437,7,0.375,-0.0067285402562906,-0.6290879673137547,0.7230339652378438,4,1.0
qwen1.5-7b,decoder,32,7,0.3224219333931258,0.1320248945940788,0.5500810797048765,7,0.46875,0.0566260591774199,-0.3830064119007785,0.529664213796453,5,0.6875
qwen2-7b,decoder,28,7,0.5419601378263909,0.3672998490223011,0.6893051027157394,7,0.1428571428571428,0.0278155942218486,-0.12002591211688,0.24162877449416,3,0.8214285714285714
qwen2.5-7b,decoder,28,7,0.6737079132945284,0.6153879164845726,0.7575784032960656,7,0.0714285714285714,0.0772668247103637,-0.0857058712986655,0.20153036669858,5,0.7857142857142857
qwen3-8b,decoder,36,7,0.1787978250967863,0.0944604522193781,0.293624676464039,7,0.5555555555555556,-0.1075789662304345,-0.2692864238508687,0.1364204263092375,1,0.8888888888888888
bert-base,encoder,12,7,0.0561523930948769,-0.3836193750591733,0.5304762566564096,4,0.8333333333333334,-0.1179858302421047,-0.4561236995479857,0.4532857552597312,2,0.5833333333333334
roberta-base,encoder,12,7,-0.0320238503175471,-0.2551268322171008,0.3218645960695954,2,0.8333333333333334,-0.2702013388532388,-0.6370077177330762,0.3105056441369571,1,0.5
spanbert-base-cased,encoder,12,7,0.0912972809737743,-0.0222197977093856,0.2324511102933367,5,0.5,0.1087898414593784,-0.214017695318915,0.4036815270546518,4,0.5
xlm-roberta-base,encoder,12,7,0.3484619774734328,0.1106598252679161,0.5215552605412134,7,0.4166666666666667,0.1030991228364422,-0.0242699669504982,0.3518621655528269,6,0.8333333333333334
