model,family,arch,task,measure,alignment,n_layers,probe_embedding,probe_first_paired,probe_max,r,p_naive,n_eff,p_eff,perm_p,r_quad,p_quad_naive,n_eff_quad,p_quad_eff,perm_p_quad
llama-7b,llama,decoder,truthfulqa,q_proj_stable_rank,post,32,0.5081564465408805,0.6560888364779874,0.8258529874213837,0.7994559668867086,4.072493655101378e-08,8.26040258105411,0.026549926484206177,0.03125,0.7655218523698974,3.321225100019745e-07,13.007368921084968,0.006008543946421191,0.03125
llama-2-7b,llama,decoder,truthfulqa,q_proj_stable_rank,post,32,0.5087853773584905,0.673565251572327,0.8239740566037735,0.8450399037424946,1.1775640899712857e-09,4.0,0.3591532057181298,0.03125,0.7229008137728885,2.96791701279884e-06,8.876139425662547,0.07020729790228164,0.0625
llama-3-8b,llama,decoder,truthfulqa,q_proj_stable_rank,post,32,0.5081603773584906,0.6685731132075471,0.8521305031446541,0.7149838920118297,4.2680658930664604e-06,10.424601681263063,0.025488270798258814,0.03125,0.3975007036267606,0.024266716921151968,21.15298549317623,0.09043831958847244,0.0625
llama-3.1-8b,llama,decoder,truthfulqa,q_proj_stable_rank,post,32,0.5081603773584906,0.6767059748427673,0.8465330188679244,0.7606403246276843,4.365137862575258e-07,9.009549303938494,0.028288787686312357,0.03125,0.5156845380200079,0.0025210449386027668,19.920203330478927,0.028898522316877503,0.03125
qwen-7b,qwen,decoder,truthfulqa,q_proj_stable_rank,post,32,0.5075314465408806,0.6704559748427672,0.8164544025157234,0.7033992237339595,7.111136918608624e-06,4.0,0.5033292842049584,0.03125,0.5732563658303792,0.0006045875059779092,12.006128290979449,0.08307297330876183,0.03125
qwen1.5-7b,qwen,decoder,truthfulqa,q_proj_stable_rank,post,32,0.5081603773584906,0.662307389937107,0.8408883647798742,0.37051100304947937,0.03684421043587222,4.721712253611173,0.6601567710723506,0.53125,0.14328958170086512,0.43399769633667395,21.244022458066503,0.5555104146399028,0.46875
qwen2-7b,qwen,decoder,truthfulqa,q_proj_stable_rank,post,28,0.5075314465408806,0.6504677672955974,0.8509237421383649,0.571518738055042,0.0014884881037629666,10.772107075628522,0.08918435725746235,0.14285714285714285,-0.18317535011336114,0.3508152523405946,20.415164899780066,0.46099195467661946,0.5714285714285714
qwen2.5-7b,qwen,decoder,truthfulqa,q_proj_stable_rank,post,28,0.5081603773584906,0.6798584905660378,0.8509119496855346,0.6430524977544678,0.00022360970796735815,9.669813887532767,0.06866736748530682,0.14285714285714285,-0.1939441901749059,0.3227129659979678,23.932980127639357,0.3879466139023211,0.7142857142857143
qwen3-8b,qwen,decoder,truthfulqa,q_proj_stable_rank,post,36,0.5075314465408806,0.6510573899371069,0.8715644654088051,0.3016794900501468,0.07375707410123734,15.995920694749113,0.2745820925521189,0.027777777777777776,0.14327635860187632,0.404487903306033,22.721833057868373,0.5386150921902146,0.6666666666666666
bert-base,bert,encoder,truthfulqa,q_proj_stable_rank,post,12,0.4749724842767295,0.6353930817610063,0.7012185534591194,0.69949487525565,0.011341656587999856,12.0,0.016582657406358954,0.08333333333333333,0.6531431251018689,0.021281514956666053,12.0,0.04058827876134936,0.08333333333333333
roberta-base,bert,encoder,truthfulqa,q_proj_stable_rank,post,12,0.4812421383647799,0.658498427672956,0.6980149371069182,-0.10551449858408114,0.7441515635119553,8.466083400809309,0.8131304155170948,0.75,-0.3408056199396296,0.27834045948272,11.149169577579313,0.3640514114519568,0.4166666666666667
spanbert-base-cased,bert,encoder,truthfulqa,q_proj_stable_rank,post,12,0.4999921383647798,0.6309984276729559,0.6779166666666666,0.2715647341744752,0.393199739376295,12.0,0.41920902323666487,0.4166666666666667,0.2715937757461873,0.39314713478390323,12.0,0.44780668505135013,0.4166666666666667
xlm-roberta-base,bert,encoder,truthfulqa,q_proj_stable_rank,post,12,0.4887067610062893,0.6535180817610062,0.6842216981132075,-0.3350263014230441,0.28709722641983704,11.150352845707921,0.33922989917805774,0.3333333333333333,-0.31186896973804257,0.3237237665329015,12.0,0.3803576897123303,0.5
