model,family,word,projection,condition,ratio,stable_rank_retained,fro_change,sep_max_base,sep_max_after,peak_retention,sep_mean_base,sep_mean_after,mean_retention,peak_layer_base,peak_layer_after,peak_shifted,peak_layer_shift,level,n_words,min_peak_retention,max_peak_retention,words_peak_up,words_mean_up,peak_shifts
llama-7b,llama,bat,v_proj,truncate,0.8,0.800319421631662,0.1048249690514689,0.0546463131904602,0.0186378359794616,0.3410630084870076,0.0361934825778007,0.0121728293597698,0.33632655640703707,24.0,26.0,True,2.0,cell,,,,,,
llama-7b,llama,club,v_proj,truncate,0.8,0.800319421631662,0.1048249690514689,0.0928869247436523,0.0295476913452148,0.3181038819700404,0.0607597529888153,0.0189511757344007,0.3119034361099073,22.0,24.0,True,2.0,cell,,,,,,
llama-7b,llama,pupil,v_proj,truncate,0.8,0.800319421631662,0.1048249690514689,0.0657908916473388,0.0222494006156921,0.33818360047400386,0.0425832718610763,0.0148972058668732,0.349837042007337,18.0,18.0,False,0.0,cell,,,,,,
llama-2-7b,llama,bat,v_proj,truncate,0.8,0.8003264383625839,0.1048456146342824,0.0550177097320556,0.0,0.0,0.0341247208416461,-0.0016687385505065,-0.04890116341904129,26.0,0.0,True,-26.0,cell,,,,,,
llama-2-7b,llama,club,v_proj,truncate,0.8,0.8003264383625839,0.1048456146342824,0.0781333446502685,0.0003145337104797,0.004025601513509752,0.0500010550022125,-0.0004872173885814,-0.00974414216979704,32.0,1.0,True,-31.0,cell,,,,,,
llama-2-7b,llama,pupil,v_proj,truncate,0.8,0.8003264383625839,0.1048456146342824,0.0860605239868164,0.000242531299591,0.002818148070166913,0.0517454296350479,-0.0005610458902083,-0.010842424039480693,12.0,1.0,True,-11.0,cell,,,,,,
llama-3-8b,llama,bat,v_proj,truncate,0.8,0.800517171995054,0.1051493506271346,0.0764225721359252,0.0061787366867065,0.08084963007679194,0.0515148863196373,0.0040435972623527,0.07849376270119603,23.0,8.0,True,-15.0,cell,,,,,,
llama-3-8b,llama,club,v_proj,truncate,0.8,0.800517171995054,0.1051493506271346,0.1032649278640747,0.0076915621757507,0.07448378006785547,0.0649633556604385,0.0044022002257406,0.0677643600917226,23.0,13.0,True,-10.0,cell,,,,,,
llama-3-8b,llama,pupil,v_proj,truncate,0.8,0.800517171995054,0.1051493506271346,0.1361401081085205,0.0142291188240051,0.10451819835975693,0.0965799018740654,0.0083016483113169,0.0859562719595819,11.0,10.0,True,-1.0,cell,,,,,,
llama-3.1-8b,llama,bat,v_proj,truncate,0.8,0.8005914622591059,0.1051001828315244,0.0639799833297729,0.00663822889328,0.10375477685051099,0.043410524725914,0.0034051248803734,0.0784400764992528,23.0,32.0,True,9.0,cell,,,,,,
llama-3.1-8b,llama,club,v_proj,truncate,0.8,0.8005914622591059,0.1051001828315244,0.0892992615699768,0.0087180733680725,0.09762760872597845,0.0556442141532897,0.0054982937872409,0.09881159920947216,23.0,13.0,True,-10.0,cell,,,,,,
llama-3.1-8b,llama,pupil,v_proj,truncate,0.8,0.8005914622591059,0.1051001828315244,0.1377112865447998,0.0202947854995727,0.1473719838712745,0.0925602614879608,0.0117213996127247,0.1266353338278899,11.0,10.0,True,-1.0,cell,,,,,,
