model,family,word,projection,condition,ratio,stable_rank_retained,fro_change,sep_max_base,sep_max_after,peak_retention,sep_mean_base,sep_mean_after,mean_retention,peak_layer_base,peak_layer_after,peak_shifted,peak_layer_shift
llama-3-8b,llama,pupil,q_proj,noise,0.8,1.1930877255222094,-0.0953712721923134,0.1361401081085205,0.1441442966461181,1.0587937577603308,0.0965799018740654,0.1011066883802414,1.0468708956867514,11,23,True,12
llama-3-8b,llama,pupil,q_proj,noise,0.9,1.0967807265816991,-0.0487565708204245,0.1361401081085205,0.1424122452735901,1.0460711927749455,0.0965799018740654,0.1007827967405319,1.043517282425352,11,23,True,12
llama-3-8b,llama,bat,q_proj,rotate,0.9,1.00023373632342,-0.0003672211057532,0.0764225721359252,0.0005964040756225,0.007804030392509371,0.0515148863196373,1.7975315131479874e-05,0.0003489343841301994,23,32,True,9
llama-3-8b,llama,club,q_proj,rotate,0.9,1.00023373632342,-0.0003672211057532,0.1032649278640747,0.0001497268676757,0.0014499295237273791,0.0649633556604385,-5.434859758679522e-06,-8.366039136105238e-05,23,1,True,-22
llama-3-8b,llama,pupil,q_proj,rotate,0.9,1.00023373632342,-0.0003672211057532,0.1361401081085205,0.0001896619796752,0.0013931381597259782,0.0965799018740654,-2.6679399525164627e-05,-0.00027624173360574564,11,1,True,-10
llama-3-8b,llama,bat,q_proj,truncate,0.9,0.900451232711046,0.0505937507092993,0.0764225721359252,0.0805199742317199,1.0536150770809842,0.0515148863196373,0.0522552840411663,1.0143725003474726,23,23,False,0
llama-3-8b,llama,club,q_proj,truncate,0.9,0.900451232711046,0.0505937507092993,0.1032649278640747,0.1011289358139038,0.9793154162371327,0.0649633556604385,0.0620261915028095,0.9547873700831978,23,23,False,0
llama-3-8b,llama,pupil,q_proj,truncate,0.9,0.900451232711046,0.0505937507092993,0.1361401081085205,0.1520096063613891,1.116567398640661,0.0965799018740654,0.106657862663269,1.104348426470185,11,23,True,12
llama-3-8b,llama,pupil,q_proj,truncate,0.95,0.950530388490693,0.0245552044557818,0.1361401081085205,0.1488993763923645,1.0937215965310771,0.0965799018740654,0.1044830828905105,1.0818304933333893,11,23,True,12
qwen2.5-7b,qwen,pupil,q_proj,rotate,0.8,0.9999567546766344,-0.0003433089649866,0.1060331463813781,0.0031362771987915,0.029578271567185177,0.0661382004618644,0.0002193677064497,0.0033168079100698916,15,5,True,-10
