word,jaccard,length,n_sentences,sep_max,peak_depth,combined,context,target
all,0.11867704280155641,23.8,40,0.06436798307630746,0.2822420634920635,0.8,0.6875,0.825
alone,0.14699792960662525,24.125,40,0.09146603279643585,0.22431657848324515,0.8125,0.625,0.8875
back,0.15151515151515152,21.875,40,0.1595539053281148,0.1909722222222222,1.0,0.8,0.9875
basis,0.10200364298724955,28.35,40,0.014539281527201289,0.38249559082892415,0.725,0.75,0.6125
better,0.16339869281045752,24.0,40,0.008432490958107799,0.2755180776014109,0.5,0.4625,0.5625
death,0.16707021791767554,22.95,40,0.037242048316531655,0.23544973544973546,0.725,0.625,0.775
down,0.13347022587268995,25.025,40,0.04446081982718569,0.9783950617283951,0.775,0.6625000000000001,0.7875000000000001
evidence,0.15065913370998116,26.775,40,0.0005976094139946444,0.3654100529100529,0.525,0.6125,0.5375000000000001
first,0.13465346534653466,25.375,40,0.1435864799552493,0.10190696649029982,0.8875,0.5,0.95
heart,0.10978520286396182,21.175,40,0.0712731579939524,0.3594576719576719,0.9125000000000001,0.925,0.8375
here,0.12362637362637363,17.9,40,0.062060475349426235,0.3701499118165785,0.8625,0.825,0.8125
information,0.10666666666666667,26.075,40,0.08386245038774275,0.9197530864197532,0.7625,0.775,0.6875
just,0.16666666666666666,23.225,40,0.03679639432165353,0.6291335978835978,0.6875,0.5375,0.6875
less,0.1282051282051282,24.15,40,0.010505080223083444,0.5876873897707231,0.6125,0.4375,0.5874999999999999
little,0.10805084745762712,22.65,40,0.1862532231542799,0.2962411816578483,0.9375,0.775,0.9375
major,0.13131313131313133,29.7,40,0.012250294287999433,0.7981150793650794,0.6,0.3875,0.675
more,0.1350844277673546,24.525,40,0.045767919884787595,0.9020061728395061,0.6375,0.45,0.7625
most,0.12251655629139073,29.1,40,0.23589386542638138,0.0814594356261023,0.9624999999999999,0.6875,0.9624999999999999
much,0.13655462184873948,23.725,40,0.0868297351731194,0.8191688712522046,0.8125,0.575,0.875
no,0.11451942740286299,22.925,40,0.016256759564081787,0.8672839506172839,0.7125,0.7250000000000001,0.6125
now,0.10815939278937381,24.175,40,0.014677806033028477,0.31112213403880074,0.675,0.725,0.5874999999999999
only,0.11561866125760649,22.325,40,0.05313895808325869,0.8284832451499118,0.75,0.7125,0.725
past,0.11650485436893204,25.95,40,0.038491696119308444,0.4584435626102292,0.7,0.6375,0.775
present,0.12453531598513011,25.475,40,0.31269536746872795,0.8037918871252204,0.975,0.7875000000000001,0.975
public,0.16765285996055226,27.675,40,0.03355528248680957,0.7535824514991182,0.6875,0.6875,0.6375
quite,0.1656686626746507,26.0,40,0.05032653278774681,0.16258818342151674,0.65,0.5874999999999999,0.6875
rather,0.12450592885375494,24.575,40,0.12478590673870509,0.4574514991181658,0.9,0.6875,0.8875
really,0.14870689655172414,24.125,40,0.020215657022264223,0.16567460317460317,0.5875,0.4875,0.6125
same,0.12750455373406194,28.725,40,0.010822643836339256,0.7862654320987654,0.7125,0.575,0.6375
so,0.14111498257839722,28.85,40,0.10611112581359011,0.8753858024691358,0.9,0.6625,0.9
suddenly,0.1276595744680851,21.55,40,0.0028533869319491444,0.4738205467372134,0.5,0.5,0.55
then,0.1127659574468085,25.45,40,0.13034899367226493,0.9197530864197532,0.9,0.8125,0.9125000000000001
too,0.14536340852130325,18.85,40,0.18886389334996537,0.4816468253968254,0.925,0.75,0.925
well,0.13904761904761906,25.15,40,0.0671870840920342,0.9029982363315696,0.6875,0.525,0.7124999999999999
world,0.13840155945419103,27.0,40,0.05333433217472497,0.15773809523809523,0.8374999999999999,0.825,0.7875000000000001
business,0.16374269005847952,27.263157894736842,38,0.01864304145177201,0.27502204585537915,0.7583333333333333,0.4875,0.7458333333333333
designed,0.10509031198686371,30.473684210526315,38,0.016878787014219434,0.39010141093474426,0.7083333333333333,0.6375,0.7375
development,0.12595419847328243,29.94736842105263,38,0.035152034627066654,0.7170965608465608,0.8416666666666666,0.7875,0.8458333333333332
door,0.13784461152882205,20.92105263157895,38,0.029380136066012877,0.2978395061728395,0.6916666666666667,0.575,0.7166666666666667
home,0.16624040920716113,20.789473684210527,38,0.044386512703365716,0.3070436507936508,0.7583333333333333,0.7041666666666666,0.7083333333333333
paper,0.1127348643006263,25.710526315789473,38,0.14685730801688296,0.4559634038800706,0.9708333333333332,0.9375,0.9583333333333334
still,0.125,25.42105263157895,38,0.09186415870984391,0.5080467372134039,0.9166666666666667,0.6708333333333334,0.8833333333333334
age,0.09922178988326848,29.61111111111111,36,0.13335409429338238,0.31729497354497355,1.0,0.9208333333333333,1.0
away,0.12903225806451613,22.22222222222222,36,0.006249530447853878,0.4013999118165785,0.44166666666666665,0.36666666666666664,0.5166666666666666
experience,0.16289592760180996,25.11111111111111,36,0.008997854259279,0.6329365079365079,0.5666666666666667,0.5625,0.475
history,0.1336206896551724,26.444444444444443,36,0.021592355436748853,0.5848765432098766,0.8333333333333334,0.7916666666666667,0.6916666666666667
life,0.12608695652173912,25.333333333333332,36,0.06885071926646756,0.1532738095238095,0.7916666666666667,0.575,0.8625
long,0.11646586345381527,25.666666666666668,36,0.032284736633300753,0.5464616402116402,0.7333333333333334,0.6458333333333334,0.775
people,0.13303769401330376,23.833333333333332,36,0.10110772980584033,0.12422839506172839,0.8541666666666667,0.7416666666666667,0.9000000000000001
possible,0.10217391304347827,24.833333333333332,36,0.1409503188398149,0.9197530864197532,0.75,0.6000000000000001,0.825
war,0.152,29.083333333333332,36,0.0044859713978237115,0.8056657848324514,0.5708333333333333,0.5583333333333333,0.5249999999999999
way,0.1416490486257928,26.72222222222222,36,0.022457467185126367,0.429673721340388,0.575,0.5125,0.6125
figure,0.09041095890410959,20.676470588235293,34,0.4604186448785994,0.9197530864197532,1.0,0.9666666666666666,0.975
high,0.09282700421940929,25.323529411764707,34,0.09585575593842395,0.5122354497354498,0.9416666666666668,0.7250000000000001,0.9083333333333334
however,0.12694300518134716,20.38235294117647,34,0.01430116759406189,0.6821538800705468,0.6333333333333333,0.5625,0.5833333333333333
human,0.1282565130260521,29.176470588235293,34,0.006362921661800767,0.839891975308642,0.5625,0.4583333333333333,0.5625
labor,0.14705882352941177,22.647058823529413,34,0.04188811779022211,0.5891203703703703,0.8083333333333333,0.7791666666666666,0.8291666666666668
moment,0.1585081585081585,26.529411764705884,34,0.07223603460523813,0.1187720458553792,0.625,0.48749999999999993,0.7
surface,0.125,27.323529411764707,34,0.0261749492751227,0.28891093474426804,0.6166666666666667,0.6041666666666666,0.6416666666666666
today,0.14216867469879518,23.558823529411764,34,0.006543331676059255,0.39186507936507936,0.6375,0.7,0.5916666666666667
