family,model,arch,n_words,n_layers,mean_r,min_r,max_r,n_words_positive,perm_p,mean_r_quad,min_r_quad,max_r_quad,n_words_positive_quad,perm_p_quad,mean_spearman_r
llama,llama-7b,decoder,999,32,0.3711858881314756,-0.8619759832281053,0.8611265450804817,830,0.03125,0.2227699607846844,-0.7887790567432932,0.8162858652190418,754,0.0625,0.27033191549320573
llama,llama-2-7b,decoder,999,32,0.4844358919804297,-0.9129919797666229,0.9433130398490551,858,0.03125,0.3721914961599402,-0.8462151934161884,0.8942824917454091,809,0.03125,0.4212258446129413
llama,llama-3-8b,decoder,999,32,0.26324535102345026,-0.8200242592832332,0.8460141883172053,742,0.03125,0.21394156554853028,-0.7291779794463447,0.7600210905257794,780,0.09375,0.11860540892798957
llama,llama-3.1-8b,decoder,999,32,0.290026602573315,-0.8409756328906202,0.860286346444392,762,0.03125,0.25955080294844773,-0.6992437544757664,0.766575849758725,817,0.03125,0.1764792651889426
qwen,qwen-7b,decoder,999,32,0.31075736605388793,-0.9073783337979678,0.895770256973513,802,0.125,0.09801071960579665,-0.9079057635924304,0.8730079594982315,602,0.125,0.2584666778215165
qwen,qwen1.5-7b,decoder,999,32,0.34598458356486467,-0.8145931478361986,0.9271903866941437,832,0.03125,0.2805546106789184,-0.9039189478641433,0.9461670008849316,752,0.03125,0.2520089737831673
qwen,qwen2-7b,decoder,999,28,0.21963437142310474,-0.8096429385691629,0.8513204902105419,697,0.21428571428571427,-0.03653664702049219,-0.6747150886921753,0.6865583547143153,455,0.7857142857142857,0.25093730840857276
qwen,qwen2.5-7b,decoder,999,28,0.35501612324879456,-0.839267216397399,0.8902774272759643,805,0.10714285714285714,0.02640367295679552,-0.6853549745070973,0.7595160235454554,535,0.8928571428571429,0.29748960783443545
qwen,qwen3-8b,decoder,999,36,0.26930331476909397,-0.5751417359413534,0.7156839727346348,862,0.1388888888888889,0.17797959787207976,-0.6709890079447581,0.7736187919411901,741,0.5277777777777778,0.18958701301043646
bert,bert-base,encoder,999,12,0.17512742928597555,-0.7809571838079985,0.8640934368677561,720,0.4166666666666667,-0.03828351293344989,-0.8893502302305237,0.9152154376161442,443,0.5833333333333334,0.1824901824901825
bert,roberta-base,encoder,999,12,-0.06693059731577776,-0.833917742977499,0.8586588364341141,419,0.75,-0.16630158810396514,-0.928218860754751,0.8977049778439578,346,0.5833333333333334,-0.11505911505911506
bert,spanbert-base-cased,encoder,999,12,0.006920530210281144,-0.5775965948428137,0.5227027439822175,551,0.9166666666666666,-0.06290433466431208,-0.7809770129821161,0.6606035927033318,383,0.6666666666666666,0.08763308763308765
bert,xlm-roberta-base,encoder,999,12,0.23708641243664344,-0.7752843752374605,0.8227155062101027,818,0.5,0.03528940929620822,-0.7965798999307803,0.8300615965993894,534,0.8333333333333334,0.2852222852222852
