group,control,words,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
decoders,linear,all,9,0.323287721418713,0.31075736605388793,9,0,0.21963437142310474,0.4844358919804297,0.3031442000984983,0.33624439016816393,llama-2-7b,qwen2-7b,1.588688812567693e-06,0.00390625
decoders,quadratic,all,9,0.17942953105941117,0.21394156554853028,8,1,-0.03653664702049219,0.3721914961599402,0.15533428542184508,0.20642530331939912,llama-2-7b,qwen2-7b,0.0031392783676941257,0.01171875
llama,linear,all,4,0.3522234334271676,0.3306062453523953,4,0,0.26324535102345026,0.4844358919804297,0.30815261390941356,0.3818827942284067,llama-2-7b,llama-3-8b,0.005773885945540345,0.125
llama,quadratic,all,4,0.2671134563604006,0.24116038186656608,4,0,0.21394156554853028,0.3721914961599402,0.23208744309388743,0.28483741996435746,llama-2-7b,llama-3-8b,0.005225193007924615,0.125
qwen,linear,all,5,0.30013915181194917,0.31075736605388793,5,0,0.21963437142310474,0.35501612324879456,0.28641990895273783,0.32026534690916025,qwen2.5-7b,qwen2-7b,0.00028278193572089797,0.0625
qwen,quadratic,all,5,0.10928239081861964,0.09801071960579665,4,1,-0.03653664702049219,0.2805546106789184,0.06646433585354494,0.1457371502783976,qwen1.5-7b,qwen2-7b,0.12185608227329717,0.1875
encoders,linear,all,4,0.0880509436542806,0.09102397974812834,3,1,-0.06693059731577776,0.23708641243664344,0.03837245406015965,0.1397114573109667,xlm-roberta-base,roberta-base,0.3027570108669747,0.375
encoders,quadratic,all,4,-0.058050006601379725,-0.05059392379888099,1,3,-0.16630158810396514,0.03528940929620822,-0.08916314523390904,-0.02196614610051792,xlm-roberta-base,roberta-base,0.25794806147585775,0.25
decoders,linear,without_all,9,0.3232895505597686,0.3106628083942182,9,0,0.2195449012780312,0.4845130492681925,0.30313661322121555,0.33625763171998574,llama-2-7b,qwen2-7b,1.5828016006904974e-06,0.00390625
decoders,quadratic,without_all,9,0.17937477399919283,0.21433525468011028,8,1,-0.03652485403044256,0.37210193523778756,0.1552838788443685,0.20636222750289723,llama-2-7b,qwen2-7b,0.0031445871838435726,0.01171875
decoders,linear,without_alone,9,0.3230070792811292,0.3102415079702766,9,0,0.2195082416465443,0.48403847525801297,0.3028781547840188,0.3359444339854524,llama-2-7b,qwen2-7b,1.5908502574801177e-06,0.00390625
decoders,quadratic,without_alone,9,0.17915053407987994,0.21371592909481296,8,1,-0.03653656990609144,0.37178696800711325,0.15507097983897575,0.20611142207812633,llama-2-7b,qwen2-7b,0.0031490268013858592,0.01171875
decoders,linear,without_back,9,0.32300509975092356,0.31034958541004026,9,0,0.21924153150215517,0.4840502062246683,0.3028744614417055,0.3359755457820196,llama-2-7b,qwen2-7b,1.5922947759151532e-06,0.00390625
decoders,quadratic,without_back,9,0.1791811155685891,0.213817730579206,8,1,-0.03669954689512025,0.37177719265443515,0.15510660593285835,0.20616619837655278,llama-2-7b,qwen2-7b,0.0031560363743851267,0.01171875
decoders,linear,without_basis,9,0.3230743528534416,0.3104572917413891,9,0,0.219641700689196,0.4840803499519495,0.30294860321612815,0.3360034343739723,llama-2-7b,qwen2-7b,1.5809106814219453e-06,0.00390625
decoders,quadratic,without_basis,9,0.17931905332689005,0.21380322283233358,8,1,-0.036270273562886,0.37188309712631856,0.15524854785196146,0.20626771918811204,llama-2-7b,qwen2-7b,0.003128964287932592,0.01171875
decoders,linear,without_better,9,0.3239930140940741,0.31136548503299455,9,0,0.22035345810855253,0.4853549202315083,0.3038227758268949,0.3369479585922643,llama-2-7b,qwen2-7b,1.574851589231454e-06,0.00390625
decoders,quadratic,without_better,9,0.17960164554113708,0.21460348837278528,8,1,-0.03693988848985805,0.37254497525367813,0.15548372932706944,0.2066693372950115,llama-2-7b,qwen2-7b,0.003143091745132001,0.01171875
decoders,linear,without_death,9,0.3230070179160145,0.31042054463986773,9,0,0.2191940556516664,0.4839834424867943,0.3028849648446671,0.3359836381990581,llama-2-7b,qwen2-7b,1.590216338919629e-06,0.00390625
decoders,quadratic,without_death,9,0.17922059355100226,0.21385721238575883,8,1,-0.036686550122561376,0.3716751954143309,0.1551637683180862,0.2062089865101977,llama-2-7b,qwen2-7b,0.0031477276064506557,0.01171875
decoders,linear,without_down,9,0.3236474765355226,0.31138169137647514,9,0,0.22021296278943955,0.48500932938175767,0.30347724492974326,0.336576790753783,llama-2-7b,qwen2-7b,1.5901941696246031e-06,0.00390625
decoders,quadratic,without_down,9,0.1797996684079969,0.21454543336494816,8,1,-0.036539843595881666,0.3730307663415616,0.15564578116630134,0.20684210740848175,llama-2-7b,qwen2-7b,0.0031383262844011136,0.01171875
decoders,linear,without_evidence,9,0.3235672195429434,0.3114289872889359,9,0,0.21920042618510266,0.48484654112181147,0.3034073043455848,0.3366130687126735,llama-2-7b,qwen2-7b,1.6071103404875755e-06,0.00390625
decoders,quadratic,without_evidence,9,0.17979298297573043,0.21445746455994125,8,1,-0.03695127479583705,0.37268093007083947,0.15568198958884183,0.20688601519717637,llama-2-7b,qwen2-7b,0.0031467788247862127,0.01171875
decoders,linear,without_first,9,0.3234093686393076,0.31054549716186614,9,0,0.2203035605430413,0.48423870131853075,0.30330570205440455,0.3362975946513408,llama-2-7b,qwen2-7b,1.5482401337252036e-06,0.00390625
decoders,quadratic,without_first,9,0.17937757613960154,0.21419808578351057,8,1,-0.03626364317488968,0.3719806391491687,0.15530219326340564,0.20633272855391294,llama-2-7b,qwen2-7b,0.0031277521116449152,0.01171875
decoders,linear,without_heart,9,0.32299952915840385,0.31029040589380136,9,0,0.2195360885150016,0.48403836643106307,0.30286967449932145,0.3359324592388292,llama-2-7b,qwen2-7b,1.5860581643833093e-06,0.00390625
