model,control,n_words,mean,ci_lo,ci_hi,weighted_mean,pos,share_pos,binom_p
bert-base,linear,999,0.17512742928597555,0.15260182732410504,0.19719528392975774,0.20103999311312543,720,0.7207207207207207,1.569504142046636e-45
bert-base,quadratic,999,-0.038283512933449886,-0.06297389846378852,-0.014312488727959335,-0.02760650645719938,443,0.44344344344344344,0.00038971158970451677
llama-2-7b,linear,999,0.4844358919804297,0.45693285491527214,0.5114001460414015,0.5134328005013,858,0.8588588588588588,6.350492429575498e-126
llama-2-7b,quadratic,999,0.3721914961599402,0.34687138242557286,0.39735151829948656,0.3972595527185562,809,0.8098098098098098,1.8510661485697113e-91
llama-3-8b,linear,999,0.26324535102345026,0.23797344177071147,0.2876705284448481,0.25694583480990785,742,0.7427427427427428,3.886615572229108e-55
llama-3-8b,quadratic,999,0.21394156554853028,0.195753442765044,0.23149886017865046,0.2190013119330697,780,0.7807807807807807,2.3643753689773808e-74
llama-3.1-8b,linear,999,0.290026602573315,0.26486033417393456,0.3143428010515958,0.2845406819505189,762,0.7627627627627628,8.057016093930567e-65
llama-3.1-8b,quadratic,999,0.25955080294844773,0.24056862052252853,0.27740705412754973,0.2661553084598991,817,0.8178178178178178,1.3898643635807448e-96
llama-7b,linear,999,0.3711858881314756,0.3474049102448277,0.39457907978463286,0.3953192780640999,830,0.8308308308308309,2.605247668649287e-105
llama-7b,quadratic,999,0.2227699607846844,0.20189030528795499,0.24327066838788078,0.23800086052119185,754,0.7547547547547547,7.787659693506622e-61
qwen-7b,linear,999,0.31075736605388793,0.28707896521393106,0.3334214207625079,0.3279487414811021,802,0.8028028028028028,4.0126574557920956e-87
qwen-7b,quadratic,999,0.09801071960579665,0.07019244329501605,0.1250974622398586,0.11571391772477664,602,0.6026026026026026,9.38742455319879e-11
qwen1.5-7b,linear,999,0.3459845835648646,0.32340817658474863,0.3678087622732454,0.37398956774311715,832,0.8328328328328328,1.0659911121241808e-106
qwen1.5-7b,quadratic,999,0.2805546106789184,0.2532342496349047,0.30714771233441596,0.31117543219377086,752,0.7527527527527528,7.314667486995426e-60
qwen2-7b,linear,999,0.21963437142310474,0.19271360048079145,0.24557803482436671,0.20139793916153573,697,0.6976976976976977,1.3383324435228065e-36
qwen2-7b,quadratic,999,-0.03653664702049219,-0.05682635123509871,-0.01646747297149141,-0.05450077677550757,455,0.45545545545545546,0.005340088811181691
qwen2.5-7b,linear,999,0.35501612324879456,0.3282577697837828,0.3802981465979967,0.35201999632207126,805,0.8058058058058059,5.7779413708412286e-89
qwen2.5-7b,quadratic,999,0.026403672956795514,0.008999037763379826,0.043759101471912795,0.014998133790050217,535,0.5355355355355356,0.02673094012874895
qwen3-8b,linear,999,0.2693033147690939,0.25388489199557013,0.2841802356083317,0.2871766990078379,862,0.8628628628628628,4.3577195829380725e-129
qwen3-8b,quadratic,999,0.17797959787207976,0.15968746088016542,0.19534399233580743,0.19604731723926802,741,0.7417417417417418,1.1208650181560704e-54
roberta-base,linear,999,-0.06693059731577775,-0.08684058150394461,-0.04650889658612892,-0.07445260383130162,419,0.4194194194194194,3.9226775333514543e-07
roberta-base,quadratic,999,-0.16630158810396514,-0.19366560155397727,-0.13883156135642347,-0.18439961538172484,346,0.34634634634634637,1.6888667132053941e-22
spanbert-base-cased,linear,999,0.006920530210281138,-0.00200881830415911,0.015722510414933305,0.002389029173184709,551,0.5515515515515516,0.0012392840736726804
spanbert-base-cased,quadratic,999,-0.06290433466431208,-0.07696979702258384,-0.048489524621103966,-0.07443095920092356,383,0.3833833833833834,1.6660671694997187e-13
xlm-roberta-base,linear,999,0.2370864124366434,0.21936038141534123,0.25478039084142057,0.2620791365299496,818,0.8188188188188188,3.086459590094438e-97
xlm-roberta-base,quadratic,999,0.03528940929620821,0.017596336954274996,0.053510332943203016,0.05187969276516019,534,0.5345345345345346,0.031391295622474925
