family,model,arch,n_words,n_layers,mean_r,min_r,max_r,n_words_positive,perm_p,mean_r_quad,min_r_quad,max_r_quad,n_words_positive_quad,perm_p_quad,mean_spearman_r
llama,llama-7b,decoder,999,32,0.4223936593537981,-0.8262415070160791,0.9660652169180107,858,0.03125,0.3429653119082488,-0.7879013064092204,0.9583550798370365,800,0.03125,0.3541602452892775
llama,llama-2-7b,decoder,999,32,0.43981835938828284,-0.8492421734682394,0.9767539028206608,860,0.03125,0.3633529181510723,-0.8166543734782253,0.9811086759119507,816,0.03125,0.3160444168508684
llama,llama-3-8b,decoder,999,32,0.06979755693218115,-0.860068295801142,0.8187480586314099,625,0.5625,0.07112405021025926,-0.8901802541111347,0.8472152102101802,619,0.59375,0.08392226537387827
llama,llama-3.1-8b,decoder,999,32,0.06788918343615989,-0.8411193248635117,0.8472201775939501,620,0.625,0.06700376524241562,-0.8534808766756545,0.8818824489310715,605,0.59375,0.06673939335229657
qwen,qwen-7b,decoder,999,32,0.27139961554224773,-0.8192698505328517,0.8643960455515756,830,0.03125,0.17096347621328853,-0.7941017851421148,0.8485756832176059,699,0.03125,0.169925423957682
qwen,qwen1.5-7b,decoder,999,32,0.28016658673063627,-0.8119474862362543,0.8919821663562179,826,0.03125,0.2126239441761104,-0.7954247045074657,0.9041066630340463,739,0.03125,0.1385402998306224
qwen,qwen2-7b,decoder,999,28,0.34919866258043825,-0.7910732849516091,0.9150030258829656,826,0.03571428571428571,0.202505956612548,-0.7576688737276092,0.9090784625493749,696,0.10714285714285714,0.378245788207474
qwen,qwen2.5-7b,decoder,999,28,0.40535098953323,-0.8047270860502731,0.9325237229409168,841,0.03571428571428571,0.21134313931849247,-0.7653015356685483,0.8956685910127551,685,0.07142857142857142,0.40424715903643105
qwen,qwen3-8b,decoder,999,36,0.4385700018875895,-0.8950361858531691,0.9205698762503689,852,0.027777777777777776,0.2623085731500116,-0.8338544856669123,0.886705160765122,765,0.1111111111111111,0.40726028473776227
bert,bert-base,encoder,999,12,0.2055664245246571,-0.8220597021478223,0.8639858661104406,713,0.3333333333333333,0.13756156765987168,-0.8695475191453182,0.9252826651678933,641,0.08333333333333333,0.19924819924819925
bert,roberta-base,encoder,999,12,0.4193486756813084,-0.825458268628849,0.9404820343749314,822,0.08333333333333333,0.21722378052202446,-0.948428926858836,0.8880213774794328,720,0.16666666666666666,0.32191632191632197
bert,spanbert-base-cased,encoder,999,12,0.34835024369933026,-0.9205053856763818,0.9408227250804292,831,0.3333333333333333,-0.17885848858244635,-0.9120980288624014,0.8884103570221481,297,0.4166666666666667,0.31999131999132
bert,xlm-roberta-base,encoder,999,12,-0.2606180436838699,-0.8170485294924433,0.8857963112218429,197,0.5,0.07259258782059493,-0.828535497013115,0.8855013166389077,603,0.5833333333333334,-0.2691572691572692
