group,control,words,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
decoders,linear,all,9,0.3049538461538404,0.34919866258043825,9,0,0.06788918343615989,0.43981835938828284,0.2880957819995351,0.33458692899355047,llama-2-7b,llama-3.1-8b,0.00026409288380129826,0.00390625
decoders,quadratic,all,9,0.21157679277582747,0.21134313931849247,9,0,0.06700376524241562,0.3633529181510723,0.19260477710392182,0.22964842121750392,llama-2-7b,llama-3.1-8b,0.00027419554595231973,0.00390625
llama,linear,all,4,0.2499746897776055,0.2460956081429896,4,0,0.06788918343615989,0.43981835938828284,0.18669346657404637,0.3106698585580874,llama-2-7b,llama-3.1-8b,0.09683199611193145,0.125
llama,quadratic,all,4,0.211111511377999,0.20704468105925403,4,0,0.06700376524241562,0.3633529181510723,0.16036437578697457,0.2591474267565268,llama-2-7b,llama-3.1-8b,0.08244039480465004,0.125
qwen,linear,all,5,0.34893717125482837,0.34919866258043825,5,0,0.27139961554224773,0.4385700018875895,0.3265289635966381,0.3683215601829735,qwen3-8b,qwen-7b,0.0004598595328541024,0.0625
qwen,quadratic,all,5,0.2119490178940902,0.21134313931849247,5,0,0.17096347621328853,0.2623085731500116,0.19935912908010986,0.2221954033142906,qwen3-8b,qwen-7b,0.0001335186996907792,0.0625
encoders,linear,all,4,0.1781618250553565,0.27695833411199366,3,1,-0.2606180436838699,0.4193486756813084,0.09776620818003913,0.3244217813017653,roberta-base,xlm-roberta-base,0.32806467551468177,0.375
encoders,quadratic,all,4,0.06212986185501117,0.10507707774023331,3,1,-0.17885848858244635,0.21722378052202446,0.010431888966006752,0.14245931200083034,roberta-base,spanbert-base-cased,0.5204510620889469,0.625
decoders,linear,without_all,9,0.30462216020774474,0.34878000897178485,9,0,0.06762312045375521,0.4396523990744332,0.2877433803494086,0.33424704017699336,llama-2-7b,llama-3.1-8b,0.0002663667309935021,0.00390625
decoders,quadratic,without_all,9,0.21117751961883802,0.21085548500979193,9,0,0.06671604599817643,0.3630831562616941,0.19218931503848097,0.22923520382142068,llama-2-7b,llama-3.1-8b,0.0002777006642790801,0.00390625
decoders,linear,without_alone,9,0.304620313383557,0.3487405536351563,9,0,0.06758567391550405,0.43946083122801766,0.28776524865299946,0.33424964331706364,llama-2-7b,llama-3.1-8b,0.0002655693761620961,0.00390625
decoders,quadratic,without_alone,9,0.21118564238339393,0.21079397892844332,9,0,0.06668517727389828,0.3629661732167693,0.19221307602922205,0.2292482005220809,llama-2-7b,llama-3.1-8b,0.00027721596258594247,0.00390625
decoders,linear,without_back,9,0.3045097605134849,0.348709764525737,9,0,0.06744910510685706,0.43928493956125086,0.28766286313251416,0.3341423424393134,llama-2-7b,llama-3.1-8b,0.00026645599032997533,0.00390625
decoders,quadratic,without_back,9,0.21106108659015746,0.21076635788855075,9,0,0.06655786748106995,0.362733924405821,0.19210198186319952,0.22912398897879338,llama-2-7b,llama-3.1-8b,0.000277881840366842,0.00390625
decoders,linear,without_basis,9,0.3047592631441856,0.34898680637406815,9,0,0.06777196383136401,0.43957921576590575,0.2879067690664706,0.3343826755582884,llama-2-7b,llama-3.1-8b,0.00026471929176389295,0.00390625
decoders,quadratic,without_basis,9,0.2114297580033746,0.21100002143425908,9,0,0.06688399816651411,0.3631422750000006,0.19246569337879632,0.22949797798298216,llama-2-7b,llama-3.1-8b,0.0002751124172062657,0.00390625
decoders,linear,without_better,9,0.30525202082973685,0.34980690606629133,9,0,0.067907298485306,0.4402468249736756,0.2883776703117445,0.33492011112279074,llama-2-7b,llama-3.1-8b,0.0002653700112770656,0.00390625
decoders,quadratic,without_better,9,0.21138627276826755,0.21104380758659705,9,0,0.06693595056124567,0.3632455189064766,0.19240386700099144,0.22944256304414531,llama-2-7b,llama-3.1-8b,0.0002761642190563717,0.00390625
decoders,linear,without_death,9,0.30466257175259726,0.34887242051579725,9,0,0.0679825251008959,0.4393458160369975,0.2878271662170472,0.3342475775840599,llama-2-7b,llama-3.1-8b,0.000263625741511743,0.00390625
decoders,quadratic,without_death,9,0.21124312947425367,0.2109172584341862,9,0,0.06711105757326219,0.3628080267783094,0.19229751731124667,0.22925963846187758,llama-2-7b,llama-3.1-8b,0.00027350248628273544,0.00390625
decoders,linear,without_down,9,0.3053444288001541,0.34971462355033145,9,0,0.06826079437961302,0.44024167358344857,0.2884822732022423,0.33497988310272175,llama-2-7b,llama-3.1-8b,0.00026190353449360873,0.00390625
decoders,quadratic,without_down,9,0.21192010235113404,0.2115647223385552,9,0,0.06742130064312225,0.3638885663562668,0.19292404435049243,0.2299824525646355,llama-2-7b,llama-3.1-8b,0.00027184441664820144,0.00390625
decoders,linear,without_evidence,9,0.3050822983303293,0.349361368862388,9,0,0.06765146195851567,0.43999318279255384,0.2882184377725513,0.3347611528768061,llama-2-7b,llama-3.1-8b,0.0002661547920938202,0.00390625
decoders,quadratic,without_evidence,9,0.21174742963214288,0.21184942575762977,9,0,0.06672983098760563,0.36353420705891565,0.19277408245379626,0.22987462946271003,llama-2-7b,llama-3.1-8b,0.0002760279965414106,0.00390625
decoders,linear,without_first,9,0.3048863556960185,0.34941437792462016,9,0,0.06798883757620433,0.43947405736042555,0.2880628929879676,0.33449854546099533,llama-2-7b,llama-3.1-8b,0.0002643406915471683,0.00390625
decoders,quadratic,without_first,9,0.21138537981809513,0.21116196551795718,9,0,0.0670914092429992,0.36298598303043844,0.1924353044165522,0.2294221261399821,llama-2-7b,llama-3.1-8b,0.00027360447357790556,0.00390625
decoders,linear,without_heart,9,0.3047900591601842,0.3490228623406314,9,0,0.06806197252193141,0.4395694553177567,0.2879426346404876,0.33438106998996575,llama-2-7b,llama-3.1-8b,0.00026308873625570975,0.00390625
decoders,quadratic,without_heart,9,0.21146749079129112,0.21137654037611942,9,0,0.06718854600556852,0.363138612994385,0.19250860051590438,0.22950235888950643,llama-2-7b,llama-3.1-8b,0.00027244995169927756,0.00390625
decoders,linear,without_here,9,0.30481369087351445,0.3488473459286989,9,0,0.06806288251689083,0.43956269320092256,0.28797006558258853,0.33440754191809247,llama-2-7b,llama-3.1-8b,0.0002622123457144162,0.00390625
decoders,quadratic,without_here,9,0.21143969844233637,0.21094975363207946,9,0,0.06722569426677753,0.36303515796442765,0.19249026600207494,0.2294664489642812,llama-2-7b,llama-3.1-8b,0.0002713460870333091,0.00390625
decoders,linear,without_information,9,0.3052033901175027,0.349555538141254,9,0,0.06847924204223954,0.4400841959392769,0.28834328938978093,0.3347939086269106,llama-2-7b,llama-3.1-8b,0.00026025017769209163,0.00390625
decoders,quadratic,without_information,9,0.21171322491684746,0.21129757711787026,9,0,0.06759503675189295,0.3634893914571097,0.1927412040993147,0.22972799843746677,llama-2-7b,llama-3.1-8b,0.00026978481192886444,0.00390625
decoders,linear,without_just,9,0.30482693860035154,0.34905160539011804,9,0,0.06761912115094891,0.439586626267782,0.28798197764192274,0.33447791578152686,llama-2-7b,llama-3.1-8b,0.0002655114197957152,0.00390625
decoders,quadratic,without_just,9,0.211496656138626,0.21146582215209,9,0,0.06672446919476087,0.36314468559544855,0.1925406524565232,0.22959317950660915,llama-2-7b,llama-3.1-8b,0.00027573704584831534,0.00390625
decoders,linear,without_less,9,0.30477732885131104,0.3490620351628304,9,0,0.06773390353274832,0.4397432673830462,0.2879065865348442,0.3344077570161314,llama-2-7b,llama-3.1-8b,0.00026460175073269855,0.00390625
decoders,quadratic,without_less,9,0.2112389530671315,0.2108211297307004,9,0,0.06677211343379445,0.3631969127897727,0.19224420810180132,0.2292973080212986,llama-2-7b,llama-3.1-8b,0.00027654741841429055,0.00390625
decoders,linear,without_little,9,0.30460058865373835,0.3487777428470741,9,0,0.06774477607166529,0.43936323134515903,0.2877552583173108,0.3342075652264975,llama-2-7b,llama-3.1-8b,0.00026494590633464177,0.00390625
decoders,quadratic,without_little,9,0.21117466522889047,0.21082629609079037,9,0,0.06686160230295142,0.36282640603398986,0.19221819762825307,0.22921379809463288,llama-2-7b,llama-3.1-8b,0.00027564708657650666,0.00390625
decoders,linear,without_major,9,0.30534068204912457,0.3498450821951063,9,0,0.06880001360479684,0.43968022187635064,0.2885482395707213,0.3349082656046656,llama-2-7b,llama-3.1-8b,0.00025906101672603944,0.00390625
decoders,quadratic,without_major,9,0.21196711256116718,0.21169500949562403,9,0,0.06792609454293472,0.3632485097818546,0.19305693790858128,0.22997223981344625,llama-2-7b,llama-3.1-8b,0.00026617078268337924,0.00390625
decoders,linear,without_more,9,0.3049383864222863,0.34933096464327507,9,0,0.06816103811797417,0.4399435315821271,0.2880627432773062,0.3345355549603253,llama-2-7b,llama-3.1-8b,0.0002627821816400455,0.00390625
decoders,quadratic,without_more,9,0.21138702094879425,0.21080598681597273,9,0,0.06731225134226976,0.36320714990165887,0.19240950482968616,0.22939636714960981,llama-2-7b,llama-3.1-8b,0.0002729195205375211,0.00390625
decoders,linear,without_most,9,0.30505089274397673,0.3495918972366131,9,0,0.06808011533025911,0.43965787532491635,0.2882250199213593,0.33467223992069145,llama-2-7b,llama-3.1-8b,0.00026418855860574076,0.00390625
decoders,quadratic,without_most,9,0.21146605564267604,0.21103546271430415,9,0,0.06719474182507267,0.3630916673723499,0.19251285417646682,0.22949996986987647,llama-2-7b,llama-3.1-8b,0.0002731764127221938,0.00390625
decoders,linear,without_much,9,0.30479650710334794,0.349168055341141,9,0,0.06799388697182722,0.4395660736330771,0.2879503112871318,0.33439683461978803,llama-2-7b,llama-3.1-8b,0.00026353853011687825,0.00390625
decoders,quadratic,without_much,9,0.2113384911383873,0.21087050456322157,9,0,0.06708717599175106,0.36301061915062344,0.19237947513685777,0.22936990553171682,llama-2-7b,llama-3.1-8b,0.0002738620917022299,0.00390625
decoders,linear,without_no,9,0.3049425706240084,0.34912222624015926,9,0,0.06765101307407131,0.4399778598791778,0.28806315946711225,0.3346040153177506,llama-2-7b,llama-3.1-8b,0.0002662927464744129,0.00390625
decoders,quadratic,without_no,9,0.2114146413060537,0.21077430625585786,9,0,0.06675799532236991,0.36361170047961067,0.19239000890935903,0.22949672205401414,llama-2-7b,llama-3.1-8b,0.0002786143210218871,0.00390625
decoders,linear,without_now,9,0.3046268599141484,0.3487237316090956,9,0,0.06742727852156984,0.4393848401191452,0.2877821123885238,0.33427680758822076,llama-2-7b,llama-3.1-8b,0.00026683156042312694,0.00390625
decoders,quadratic,without_now,9,0.21120951844185332,0.21096521977322585,9,0,0.06654185427881554,0.3628593003078739,0.19225329570860075,0.22929297646223307,llama-2-7b,llama-3.1-8b,0.000277397894196915,0.00390625
decoders,linear,without_only,9,0.3048818217206344,0.3490595859824171,9,0,0.06814059022982591,0.43956504007758207,0.2880464194260159,0.3344744756569854,llama-2-7b,llama-3.1-8b,0.00026271428177526793,0.00390625
decoders,quadratic,without_only,9,0.21147181700714596,0.21097418672856677,9,0,0.06725577628649299,0.36312728747884476,0.1925148831981836,0.22949882209722755,llama-2-7b,llama-3.1-8b,0.0002731404617024839,0.00390625
decoders,linear,without_past,9,0.3046694055630438,0.3488279753720261,9,0,0.06776094326669552,0.4394945273349607,0.28781626534155413,0.3342829633500873,llama-2-7b,llama-3.1-8b,0.00026468832999718085,0.00390625
decoders,quadratic,without_past,9,0.21126613584639797,0.21076039406857186,9,0,0.06687655113284126,0.3630252067359219,0.19229625198520747,0.22931483393559254,llama-2-7b,llama-3.1-8b,0.000275785038246323,0.00390625
decoders,linear,without_present,9,0.30486325859374813,0.34899817759653673,9,0,0.06808182675280015,0.43948008016402346,0.2880361558974638,0.3344609375738667,llama-2-7b,llama-3.1-8b,0.00026286265944591545,0.00390625
decoders,quadratic,without_present,9,0.21138625417245263,0.21070113931870213,9,0,0.06719174700274683,0.3629662107756608,0.19243875959705165,0.22941056756866587,llama-2-7b,llama-3.1-8b,0.00027320553636786245,0.00390625
decoders,linear,without_public,9,0.3048028645559468,0.3490544324393973,9,0,0.06777065744916805,0.4395570414535277,0.2879585924437492,0.3344318904442941,llama-2-7b,llama-3.1-8b,0.00026456495989386845,0.00390625
decoders,quadratic,without_public,9,0.21145683113548516,0.21113587166639122,9,0,0.0668877791456794,0.36311998238339627,0.1924989372294963,0.22952796263421088,llama-2-7b,llama-3.1-8b,0.00027469245355792206,0.00390625
decoders,linear,without_quite,9,0.30460932901827076,0.3488385413873139,9,0,0.06757141478522577,0.43937239315239507,0.2877639460015052,0.33423906829740135,llama-2-7b,llama-3.1-8b,0.00026588745499757805,0.00390625
decoders,quadratic,without_quite,9,0.21118576503809894,0.21090674624227151,9,0,0.06668619217182302,0.36286349083211,0.19222604931384754,0.22924821164638343,llama-2-7b,llama-3.1-8b,0.0002765324529987679,0.00390625
decoders,linear,without_rather,9,0.3047119749435641,0.3488458401535165,9,0,0.06775569559956425,0.43959227379597354,0.28785193758701294,0.3343315098615641,llama-2-7b,llama-3.1-8b,0.0002645517043046408,0.00390625
decoders,quadratic,without_rather,9,0.21130001992341463,0.21081746701907245,9,0,0.06686281678680148,0.36317270342264635,0.19231593448601067,0.22935467031549128,llama-2-7b,llama-3.1-8b,0.00027625380937241453,0.00390625
decoders,linear,without_really,9,0.30480406981047387,0.34923457157004967,9,0,0.06788103690971967,0.4394430981040372,0.28797419127377843,0.3344194489230681,llama-2-7b,llama-3.1-8b,0.00026475581789018953,0.00390625
decoders,quadratic,without_really,9,0.21131829263823504,0.21119032072962754,9,0,0.06697276406196567,0.362878644139387,0.19237324870059108,0.2293614837102687,llama-2-7b,llama-3.1-8b,0.0002741270470142921,0.00390625
decoders,linear,without_same,9,0.30516751482693816,0.34945339642182255,9,0,0.0678682512057335,0.43998729682276105,0.2883150420774603,0.3348299227795888,llama-2-7b,llama-3.1-8b,0.0002636142989394133,0.00390625
decoders,quadratic,without_same,9,0.21187569526758052,0.2114826655250789,9,0,0.06697929115098589,0.3637345390639919,0.19289333979302908,0.2299877457821548,llama-2-7b,llama-3.1-8b,0.00027368033843506615,0.00390625
decoders,linear,without_so,9,0.3047194353692058,0.34895467810459413,9,0,0.0678129127331837,0.4395085355829303,0.28787079784249026,0.3343327506987086,llama-2-7b,llama-3.1-8b,0.00026452851522273095,0.00390625
decoders,quadratic,without_so,9,0.21133655553425007,0.2109034445171998,9,0,0.06693132385457669,0.3630488655497924,0.19237251678230732,0.22938720949420927,llama-2-7b,llama-3.1-8b,0.000275164170794405,0.00390625
decoders,linear,without_suddenly,9,0.3053023216257767,0.3495576398061762,9,0,0.06822323997160618,0.4401546233236473,0.28844578391354286,0.334937206832548,llama-2-7b,llama-3.1-8b,0.00026161290882434476,0.00390625
decoders,quadratic,without_suddenly,9,0.21237339039490782,0.21221560709862236,9,0,0.06760526921003908,0.3642603150001547,0.19338752481925198,0.23046940554301643,llama-2-7b,llama-3.1-8b,0.00026886796935092337,0.00390625
decoders,linear,without_then,9,0.3048062629712599,0.3491236172180446,9,0,0.06798166079388743,0.43961927399215345,0.2879546365936482,0.3344093382434315,llama-2-7b,llama-3.1-8b,0.00026332334694412066,0.00390625
decoders,quadratic,without_then,9,0.21134274703914235,0.21087438024532879,9,0,0.06708693099254977,0.3630633935370878,0.19237766622689917,0.2293747240449664,llama-2-7b,llama-3.1-8b,0.0002737475659730542,0.00390625
decoders,linear,without_too,9,0.3047670629643373,0.3492167580963462,9,0,0.06788966308297073,0.4393911071681715,0.28793905743885806,0.3343767379495082,llama-2-7b,llama-3.1-8b,0.0002634425109011688,0.00390625
decoders,quadratic,without_too,9,0.21132436245698127,0.2108515568676615,9,0,0.06701141219565174,0.3628714495598071,0.192380976569128,0.22936348123964745,llama-2-7b,llama-3.1-8b,0.00027351884017993994,0.00390625
decoders,linear,without_well,9,0.30474274076050917,0.3490958977513484,9,0,0.06760665785911649,0.43940620985251305,0.2879098071240086,0.33438475112318317,llama-2-7b,llama-3.1-8b,0.00026515421259152823,0.00390625
decoders,quadratic,without_well,9,0.2112650525497605,0.2106862973632553,9,0,0.06669365881652829,0.3628600523488003,0.19231567757488055,0.22933647676641455,llama-2-7b,llama-3.1-8b,0.0002761380643642276,0.00390625
decoders,linear,without_world,9,0.30464610060015906,0.3489045873838721,9,0,0.06789280668316061,0.4393087413466987,0.28781327050684163,0.3342402623397839,llama-2-7b,llama-3.1-8b,0.0002641784449768472,0.00390625
decoders,quadratic,without_world,9,0.2111915964568592,0.21113021677633428,9,0,0.06697155208888246,0.36276862797239773,0.19224446751741686,0.22921910200285628,llama-2-7b,llama-3.1-8b,0.00027414172382674755,0.00390625
