model,arch,n_words,sep_more_context_before,sep_less_context_before,difference,ratio
llama-7b,decoder,999,0.1286487262563657,0.12428518519271635,0.004363541063649348,1.035109100548736
llama-2-7b,decoder,999,0.12994231392586897,0.12609126927814138,0.0038510446477275917,1.0305417232277412
llama-3-8b,decoder,999,0.12836945088684257,0.12274861077126774,0.005620840115574829,1.0457914764188152
llama-3.1-8b,decoder,999,0.1272330874265148,0.12229814554078788,0.004934941885726907,1.0403517311231922
qwen-7b,decoder,999,0.10380017530494536,0.09702965636727306,0.00677051893767229,1.0697778307288317
qwen1.5-7b,decoder,999,0.125842828390562,0.12103882373341639,0.004804004657145602,1.0396897830709777
qwen2-7b,decoder,999,0.12252343363568262,0.11592168845875352,0.0066017451769291025,1.0569500432982228
qwen2.5-7b,decoder,999,0.10598152782106157,0.10153250021843087,0.0044490276026307035,1.0438187535327046
qwen3-8b,decoder,999,0.08645980424687343,0.0845339930081584,0.0019258112387150195,1.022781500910872
bert-base,encoder,999,0.10266457895942145,0.10433127832581128,-0.0016666993663898289,0.9840249310356864
roberta-base,encoder,999,0.03745784481164768,0.039740433275519176,-0.002282588463871499,0.94256256724615
spanbert-base-cased,encoder,999,0.09285212830843659,0.0929223906801399,-7.026237170330851e-05,0.999243859621034
xlm-roberta-base,encoder,999,0.028624859134557888,0.03138239770436022,-0.002757538569802334,0.9121310425105216
