model,arch,n_words,sep_more_context_before,sep_less_context_before,difference,ratio
llama-7b,decoder,999,0.13791674977424098,0.141501620054245,-0.00358487028000401,0.9746655177613532
llama-2-7b,decoder,999,0.13681118459093805,0.14089464059472084,-0.004083456003782793,0.971017662655255
llama-3-8b,decoder,999,0.13446372992852154,0.13361575669050216,0.0008479732380193838,1.0063463565901405
llama-3.1-8b,decoder,999,0.13251234304671194,0.1329672934114933,-0.00045495036478135353,0.9965784791649972
qwen-7b,decoder,999,0.11350739960576973,0.10614382261037826,0.007363576995391474,1.0693735802451823
qwen1.5-7b,decoder,999,0.13643084524893292,0.14008042299747467,-0.0036495777485417435,0.9739465539120514
qwen2-7b,decoder,999,0.13230611547535542,0.12421483206748962,0.008091283407865801,1.0651394303980508
qwen2.5-7b,decoder,999,0.11374005342231078,0.11242687439918518,0.0013131790231255963,1.0116802946817056
qwen3-8b,decoder,999,0.09091476932460187,0.0945018047094345,-0.0035870353848326403,0.9620426784878688
bert-base,encoder,999,0.1079420867503858,0.10667648321390152,0.0012656035364842777,1.0118639413144748
roberta-base,encoder,999,0.03935128684137382,0.045593595266342164,-0.006242308424968347,0.8630880414561976
spanbert-base-cased,encoder,999,0.09971206708281648,0.09850994682312011,0.0012021202596963626,1.0122030342971846
xlm-roberta-base,encoder,999,0.031260684483191546,0.03877690839767456,-0.007516223914483013,0.8061675304951913
